Accession,Gene names,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
P52597,HNRNPF,0,0.62,1.42,0.41,0.53,0.38,0.33,0.24,2.21,0.41,-0.41,0.4,0.09
J3QTR3,HEL112,0,0.51,-0.85,0.31,2.47,0.43,-0.57,0.21,9.56,0.52,-0.78,0.5,-0.85
P16403,H1-2,0,0.09,14.37,0.28,3.17,0.2,9.93,0.23,9.66,0.35,1.21,0.21,7.07
Q08554,DSC1,0,0.53,-0.42,0.32,1.95,0.14,11.85,0.2,9.82,0.42,-0.81,0.2,6.38
P14625,HEL-S-125m,0,0.43,-0.83,0.34,0.26,0.64,1.24,0.39,2.34,0.34,-0.63,0.5,-0.83
Q6UWP8,SBSN,0,0.26,4.97,0.04,20.93,0,0,0.26,2.7,0.05,22.41,0.03,11.92
Q9Y5A9,YTHDF2,0,0.15,11.73,0.34,1.36,0.41,-0.35,0.08,20.71,0.23,5.81,0.26,5.33
P20700,LMNB1,0,0.1,13.62,0.24,9.07,0.22,5.42,0.15,9.32,0.29,3.14,0.25,3.8
P40926,MDH2,0,0.25,2.47,0.19,8.73,0.24,5.61,0.16,12.19,0.28,3.2,0.29,3.1
P23396,RPS3,0,0.44,-0.4,0.32,1.82,0.47,-0.77,0.36,1.55,0.46,-0.81,0.43,-0.5
Q06830,PRDX1,0,0.47,-0.61,0.31,1.86,0.44,-0.61,0.29,5.8,0.54,-0.62,0.53,-0.69
P31151,S100A7,0,0.24,4.26,0.4,-0.25,0.03,23.63,0.07,16.89,0.2,6.85,0.21,7.84
P04040,CAT,0,0.14,8.42,0.38,0.76,0.24,6.92,0.27,4.74,0.27,3.07,0.49,0.07
A0A087WVQ6,CLTC,0,0.44,-0.68,0.42,-0.66,0.57,0.05,0,0,0.56,-0.07,0.5,-0.85
Q9H8K7,PAAT,0,0.23,3.44,0,0,0.07,21.05,0.15,12.54,0,0,0,0
Q16777,H2AC20,0,0.25,6.3,0.23,7.34,0.31,2.79,0.26,5.5,0.38,0.18,0.33,1.99
P13639,EEF2,0,0.02,24,0.05,21.45,0.12,16.74,0.02,25.47,0.11,13.91,0.1,14.63
P23246,SFPQ,0,0.12,12.67,0.15,13.31,0.38,0.25,0.26,4.5,0.37,0.4,0.37,0.32
Q5QNW6,H2BC18,0,0.19,9.12,0.18,9.07,0.24,5.8,0.22,7.65,0.36,0.71,0.28,3.47
P22735,TGM1,0,0.49,-0.85,0.31,2.01,0.13,16.27,0.05,22.54,0.49,-0.79,0,0
P27797,CALR,0,0.44,-0.76,0.15,8.3,0.43,-0.39,0,0,0.56,-0.48,0.49,-0.85
E9PLD0,RAB1B,0,0.19,7.39,0.31,4.05,0.38,0.22,0.24,6.67,0.26,3.52,0.4,0.35
P62701,RPS4X,0,0.54,-0.55,0.49,-0.85,0.55,-0.71,0.39,1.84,0.53,-0.56,0.43,-0.83
P60866,RPS20,0,0.42,-0.73,0.28,3.58,0.45,-0.71,0,0,0.48,-0.85,0.35,0.25
P51991,HNRNPA3,0,0.4,-0.52,0.56,-0.55,0.45,-0.72,0.56,-0.69,0.48,-0.8,0.43,-0.44
Q13867,BLMH,0,0.6,-0.79,0.21,6.43,0.17,4.35,0.08,19.62,0.29,0.53,0.53,-0.81
F8VVM2,SLC25A3,0,0.38,-0.29,0.4,-0.28,0.38,0.85,0.27,1.91,0.41,-0.34,0.4,-0.02
P62277,RPS13,0,0.58,0.14,0.36,-0.03,0.53,-0.67,0.57,-0.28,0.57,-0.34,0.46,-0.39
Q8TEM1,NUP210,0,0.17,10.03,0.15,12.25,0.47,-0.84,0,0,0.15,10.26,0.25,0.49
Q96D15,RCN3,0,0.37,0.5,0,0,0,0,0,0,0,0,0,0
Q96EP5,DAZAP1,0,0.28,5.5,0.43,-0.81,0.49,-0.85,0.29,3.74,0.64,1.41,0.47,-0.83
P62249,RPS16,0,0.42,-0.69,0.46,-0.81,0.54,-0.33,0.52,-0.85,0.56,-0.33,0.47,-0.83
O43251,RBFOX2,0,0.36,0.9,0.43,-0.11,0.37,0.51,0,0,0,0,0,0
P32119,HEL-S-2a,0,0.27,4.14,0.15,9.99,0.26,4.36,0.09,17.88,0.37,0.16,0.33,1.5
P20930,FLG,0,0.07,15.34,0.04,22.46,0,0,0.05,22.17,0.04,22.74,0.07,20.52
P00338,HEL-S-133P,0,0.35,0.26,0.44,-0.63,0.42,0.23,0.15,14.6,0.53,-0.76,0.45,-0.83
A0A5F9ZHM4,HEL-S-281,0,0.58,1.46,0.39,-0.11,0.53,-0.58,0.51,-0.13,0.5,-0.77,0.51,-0.78
P81605,DCD,0,0.02,24.34,0,0,0.03,24.89,0.02,24.83,0.02,24.35,0,0
A0A0A0MR02,VDAC2,0,0.43,-0.57,0.48,-0.84,0.45,-0.73,0.39,-0.1,0.47,-0.84,0.47,-0.81
D6RBZ0,HNRNPAB,0,0.34,0.94,0.25,4.58,0.35,1.6,0.44,-0.85,0.33,0.94,0.27,4.4
G5E972,TMPO,0,0.38,2.12,0,0,0.33,0.92,0,0,0.31,1.66,0.26,4.17
P47929,LGALS7,0,0.28,4.99,0.08,18.51,0.09,18.75,0.01,26.7,0,0,0.08,14.47
P50995,ANXA11,0,0.5,-0.78,0.29,4.78,0.36,-0.29,0.18,12.47,0.39,-0.52,0.48,-0.84
P62269,RPS18,0,0.43,-0.55,0.49,-0.83,0.36,0.29,0.44,-0.82,0.47,-0.82,0.4,-0.43
Q15084,PDIA6,0,0.45,-0.49,0.13,10.05,0.45,-0.71,0,0,0.45,-0.68,0.41,0.15
P49411,TUFM,0,0.34,1.22,0.39,-0.32,0.3,3.78,0.19,9.91,0.38,0.04,0.37,0.3
P69905,HBA1,0,0.42,0.36,0.28,3.5,0.12,16.19,0.31,3.95,0.08,18.41,0,0
H7BZ94,P4HB,0,0.35,3.28,0.2,9.91,0.39,1.23,0,0,0.32,1.77,0.34,1.22
P13667,ERP70,0,0.58,0.59,0.37,0.35,0.4,-0.2,0.18,1.14,0.62,0.22,0.49,-0.8
Q96PK6,RBM14,0,0.24,5.44,0.49,-0.79,0.22,1.81,0.33,2.55,0.32,0.61,0.35,-0.13
P01876,IGHA1,0,0.69,2.19,0.66,0.09,0,0,0,0,0.57,-0.44,0.37,-0.33
P39656,DDOST,0,0.48,-0.83,0.31,2.19,0.45,-0.56,0,0,0.39,-0.1,0.37,0.35
Q8WVV4,POF1B,0,0.12,6.82,0.02,5.77,0.09,18.42,0.1,15.34,0.29,-0.13,0,0
O75223,C7orf24,0,0.48,-0.84,0.1,17.2,0.2,8.75,0.2,8.04,0.22,6.85,0.19,8.01
Q6ZVX7,NCCRP1,0,0.27,2.93,0.32,1.77,0.34,2.04,0.18,11.06,0.36,0.59,0.34,0.88
H0Y8G5,HNRNPD,0,0.39,0.26,0.35,1,0.41,-0.66,0.38,0.57,0.47,-0.8,0.41,-0.01
P07858,CTSB,0,0.37,-0.18,0.61,-0.48,0.61,-0.42,0,0,0,0,0.63,-0.31
P09382,LGALS1,0,0.3,1.58,0.44,-0.1,0.51,-0.83,0,0,0.46,-0.53,0.48,-0.84
P51149,RAB7A,0,0.19,3.55,0.28,3.99,0.24,6.92,0,0,0.36,2.85,0.27,4.07
P07099,EPHX1,0,0.02,24.51,0.06,19.56,0.13,6.62,0,0,0.09,18.33,0.12,13
P63244,RACK1,0,0.19,5.43,0,0,0.27,3.48,0,0,0.19,7.71,0.26,3.62
O43175,PHGDH,0,0.55,-0.59,0.57,-0.11,0.62,0.95,0.47,-0.59,0.7,2.65,0.66,2.64
P49755,TMED10,0,0.46,-0.85,0.38,-0.15,0.52,-0.75,0.47,-0.26,0.49,-0.76,0.48,-0.78
P23284,PPIB,0,0.03,23.4,0.12,14.28,0.08,18.18,0,0,0.11,13.93,0.07,20.18
P25398,RPS12,0,0.16,11.16,0.22,4.46,0.52,-0.4,0,0,0.57,0.28,0.4,-0.7
Q16629,SRSF7,0,0.01,26.16,0.01,25.59,0.03,25.03,0,0,0.02,24.55,0.03,16.8
A0A1B0GUE3,ASAH1,0,0.61,-0.8,0.55,-0.77,0.22,6.18,0.37,-0.47,0.53,-0.81,0.58,-0.36
Q12955,ANK3,0,0.04,22.33,0.04,21.05,0.23,7.49,0.02,24.94,0.48,-0.67,0.27,3.11
H3BNC9,None,0,0.43,-0.57,0.4,-0.35,0.44,1.29,0.26,4.43,0.55,-0.73,0.39,-0.83
A2NJV5,None,0,0.09,17.03,0.1,14.83,0.06,22,0.08,18.13,0.09,16.83,0.09,17.18
P50502,ST13,0,0.21,8.32,0.21,7.3,0.27,3.66,0.15,14.61,0.19,11.67,0.29,3.12
Q15637,SF1,0,0,26.38,0.01,26.75,0.01,27.94,0,0,0.01,26.56,0,27.69
A0A2R8Y811,RPS14,0,0.56,1.12,0.45,0.43,0.58,2.78,0.54,-0.62,0.56,-0.71,0,0
P63173,RPL38,0,0.54,1.61,0.58,1.15,0.52,-0.54,0,0,0.54,-0.69,0.58,-0.17
P51148,RAB5C,0,0.74,0.75,0,0,0.41,-0.39,0,0,0.67,2.49,0.56,-0.39
P13073,COX4I1,0,0.45,-0.64,0.37,0.42,0.47,-0.83,0.44,-0.69,0.42,-0.32,0.44,-0.64
P60174,HEL-S-49,0,0.14,6.84,0.1,14.62,0.25,5.15,0,0,0.32,1.71,0.37,1.26
P15531,NME1,0,0.58,0.01,0,0,0.56,-0.61,0.29,1.4,0.54,-0.63,0.6,-0.22
P38159,RBMX,0,0.18,5.26,0.27,3.71,0.32,1.16,0,0,0.32,1.07,0.2,7.56
P62318,SNRPD3,0,0.41,-0.57,0,0,0.43,-0.09,0,0,0.48,-0.84,0.48,-0.72
P39019,RPS19,0,0.44,-0.83,0.28,-0.44,0.51,-0.83,0.58,-0.23,0.48,-0.85,0.57,0.71
P62258,HEL2,0,0.31,2.56,0.22,6.01,0.29,3.53,0.11,14.68,0.37,0.41,0.44,-0.75
Q14574,DSC3,0,0.38,2.79,0.43,-0.04,0.29,5.36,0.31,4,0.4,1.25,0.56,-0.62
P31025,LCN1,0,0.26,3.7,0,0,0.1,18.34,0.05,19.68,0.2,7.01,0.05,21.87
P61224,RAP1B,0,0.47,-0.82,0.4,0.12,0.5,-0.85,0.1,18.03,0.51,-0.8,0.47,-0.85
O00148,DDX39A,0,0.26,-0.08,0.26,0.16,0.19,9.49,0,0,0.52,0.8,0.19,7.52
P10599,TXN,0,0.7,1.86,0.32,2.99,0.19,12.51,0,0,0.36,-0.28,0.13,16.59
P61626,LYZ,0,0.25,7.19,0,0,0.38,-0.26,0.59,0.38,0.15,11.51,0.19,10.24
Q5VVC8,RPL11,0,0.35,3.8,0.32,0.83,0.52,-0.82,0.43,-0.73,0.51,-0.52,0.44,-0.69
Q02978,SLC25A11,0,0.6,1.56,0.28,5.83,0.44,-0.66,0,0,0.43,-0.59,0.4,-0.15
Q9NZ01,TECR,0,0.34,0.78,0.4,0.01,0.37,0.78,0,0,0.37,0.03,0.39,0.83
P46781,RPS9,0,0.69,0.22,0.44,-0.53,0.52,-0.52,0.41,0.56,0.52,-0.67,0.55,-0.51
P62266,RPS23,0,0.54,1.58,0.49,-0.85,0.47,0.62,0.59,-0.12,0.51,-0.78,0.49,-0.85
P50914,RPL14,0,0.46,0.08,0.29,1.07,0.51,-0.74,0.32,1.49,0.55,-0.51,0.41,-0.55
P28074,PSMB5,0,0.25,8.35,0.21,9.57,0.17,10.34,0,0,0.24,6.74,0.58,-0.84
P34897,HEL-S-51e,0,0.59,-0.59,0.39,1.07,0.47,-0.78,0.55,-0.76,0.41,-0.3,0.39,0.02
P35030,PRSS3,0,0.45,0.74,0,0,0,0,0,0,0,0,0,0
P51572,BCAP31,0,0.33,3.52,0,0,0.38,0.21,0,0,0.35,0.9,0.33,2
P84243,H3-3A,0,0.28,3.34,0.23,6.13,0.27,3.67,0.23,7.66,0.4,-0.16,0.33,1.59
P62081,RPS7,0,0.44,-0.83,0.47,-0.4,0.49,-0.84,0,0,0.55,-0.65,0.52,-0.54
Q7Z3B4,NUP54,0,0.09,11.53,0.07,16.58,0,0,0,0,0.13,14.08,0,0
P62937,HEL-S-69p,0,0.14,14.06,0.11,15.7,0.14,15.98,0,0,0,0,0.21,10.28
Q96FQ6,S100A16,0,0.63,-0.22,0.49,-0.36,0.36,-0.83,0.2,6.93,0.47,-0.35,0.53,-0.71
P62906,RPL10A,0,0.46,-0.82,0.45,-0.71,0.53,-0.63,0.37,0.16,0.52,-0.74,0.51,-0.8
M0R0R2,RPS5,0,0.23,5.63,0.41,-0.3,0.57,-0.11,0.41,0.38,0.53,-0.71,0.48,-0.84
P18669,PGAM1,0,0.41,-0.77,0.26,4.78,0.58,-0.81,0.33,2.76,0.42,-0.73,0.4,0.01
H0YL69,PSMA4,0,0.52,0.48,0.21,9.88,0.3,6.06,0.14,14.23,0.42,-0.53,0.32,4.67
P68133,ACTA1,0,0,0,0.42,-0.64,0.45,-0.69,0.38,-0.34,0.47,-0.83,0.5,-0.85
Q9Y265,RUVBL1,0,0,0,0.19,1.08,0.47,-0.85,0,0,0.36,0.74,0.4,-0.36
P05388,RPLP0,0,0,0,0.41,-0.17,0.47,-0.76,0,0,0.5,-0.79,0.44,-0.61
P01040,CSTA,0,0,0,0.05,20.18,0.15,11.01,0.02,24.2,0.18,8.77,0.06,20.24
P05089,ARG1,0,0,0,0.09,10.09,0.06,20.28,0,0,0.04,21.32,0,0
P08865,RPSA,0,0,0,0.11,15.73,0.47,-0.76,0,0,0.43,-0.61,0.24,7.66
P38919,DDX48,0,0,0,0.5,-0.84,0.42,-0.73,0,0,0.4,0.2,0.39,0.75
Q15365,PCBP1,0,0,0,0.46,-0.83,0.4,-0.5,0.14,9.24,0.6,0.83,0.53,-0.85
A0A1B0GVD5,CTSD,0,0,0,0.17,9.94,0.09,19.93,0.04,22.53,0.18,4.87,0.12,15.38
P78386,KRT85,0,0,0,0.26,5.25,0.28,5.88,0,0,0.24,5.39,0.27,4.17
P01857,IGHG1,0,0,0,0.11,15.67,0.07,21.67,0.06,16.39,0.07,18.15,0,0
P07737,PFN1,0,0,0,0.22,7.36,0.29,4.14,0,0,0.33,0.88,0.37,0.98
P60842,EIF4A1,0,0,0,0.18,11.18,0.38,1.6,0,0,0.39,1.01,0.36,-0.64
P04843,RPN1,0,0,0,0.44,-0.44,0.4,1.01,0.15,1.63,0.35,1.05,0.33,0.6
C9JD32,RPL23,0,0,0,0.62,0,0.57,-0.68,0,0,0.62,2.32,0.55,-0.72
P83731,HEL-S-310,0,0,0,0.53,1.1,0.42,-0.79,0,0,0.53,-0.85,0.55,-0.53
Q07021,C1QBP,0,0,0,0.35,1.61,0.29,1.53,0,0,0.43,-0.48,0.31,0.31
P30050,RPL12,0,0,0,0.37,0.27,0.54,-0.52,0.4,2.08,0.52,-0.74,0.44,-0.57
Q02878,RPL6,0,0,0,0.48,-0.69,0.36,1.34,0,0,0.36,-0.1,0.51,-0.84
P00403,COX2,0,0,0,0.15,10.51,0.42,1.81,0,0,0.25,4.6,0.33,2.18
P61353,RPL27,0,0,0,0.28,2.12,0.36,0.97,0.37,0.61,0.36,0.52,0.39,0.66
Q14974,KPNB1,0,0,0,0.47,-0.76,0,0,0,0,0.36,0.92,0.28,1.74
O43852,CALU,0,0,0,0.33,3.69,0.33,3.72,0,0,0.2,9.7,0,0
P17931,LGALS3,0,0,0,0.29,5.78,0.34,0.57,0,0,0.62,1.11,0.43,-0.6
P26641,EEF1G,0,0,0,0.52,-0.84,0.41,-0.59,0,0,0.41,0.14,0.42,-0.75
P42766,RPL35,0,0,0,0.37,0.14,0.38,0.97,0.46,-0.74,0.5,-0.84,0.38,0.26
A0A286YEY4,IGHG2,0,0,0,0.15,12.76,0,0,0,0,0,0,0,0
P78371,CCT2,0,0,0,0.06,21.24,0.21,8.09,0.31,-0.24,0.11,7.5,0.04,23.25
P21333,FLNA,0,0,0,0.49,0.17,0,0,0,0,0.43,1.25,0.53,-0.68
P49748,ACADVL,0,0,0,0.45,-0.32,0.41,1.7,0,0,0,0,0,0
Q8N1N4,KRT78,0,0,0,0,0,0.01,26.27,0,0,0,0,0,0
P06702,S100A9,0,0,0,0,0,0.01,28.1,0,0,0,0,0,0
P67809,YBX1,0,0,0,0,0,0.43,-0.68,0,0,0.47,-0.79,0.36,1.66
Q99567,NUP88,0,0,0,0,0,0.44,-0.61,0,0,0,0,0,0
P14866,HNRNPL,0,0,0,0,0,0.36,0.65,0,0,0.22,8.67,0,0
P20073,ANXA7,0,0,0,0,0,0.49,-0.85,0,0,0.89,2.6,0.59,1.99
P19338,NCL,0,0,0,0,0,0.27,2.91,0,0,0.09,16.9,0,0
O43809,NUDT21,0,0,0,0,0,0.38,0.63,0,0,0.38,-0.01,0.43,0.79
E7EQB2,HEL110,0,0,0,0,0,0.06,19.08,0.12,15.6,0,0,0.24,6.34
P68871,HBB,0,0,0,0,0,0.06,19.45,0.17,13.17,0,0,0,0
F8VZX2,PCBP2,0,0,0,0,0,0.36,0.61,0,0,0.47,0.24,0.5,-0.83
M0QXN5,NUP62,0,0,0,0,0,0.43,-0.78,0,0,0,0,0,0
P63104,YWHAZ,0,0,0,0,0,0.25,4.1,0,0,0.4,-0.62,0.31,4.95
P48047,ATP5PO,0,0,0,0,0,0.36,3.75,0,0,0.34,1.15,0.48,-0.47
H3BRG4,UQCRC2,0,0,0,0,0,0.29,4.76,0,0,0.17,7.01,0.4,0.88
Q9BPW8,NIPSNAP1,0,0,0,0,0,0.46,-0.5,0,0,0,0,0,0
B4DY09,ILF2,0,0,0,0,0,0.25,8.79,0,0,0,0,0,0
Q9UJS0,SLC25A13,0,0,0,0,0,0.26,2.33,0,0,0.34,4.27,0.27,6.18
Q10570,CPSF1,0,0,0,0,0,0.37,0.67,0,0,0.39,-0.19,0.11,11.37
Q86U42,PABPN1,0,0,0,0,0,0.23,7.69,0,0,0.28,2.05,0,0
P11717,IGF2R,0,0,0,0,0,0.3,4.72,0,0,0,0,0,0
P62491,RAB11A,0,0,0,0,0,0.43,-0.41,0,0,0.49,-0.84,0.42,-0.7
E9PKZ0,RPL8,0,0,0,0,0,0.18,12.8,0,0,0.2,7.38,0.14,12.99
P40429,RPL13A,0,0,0,0,0,0.49,-0.79,0.48,-0.73,0.54,-0.62,0,0
Q92841,DDX17,0,0,0,0,0,0.4,-0.54,0,0,0.49,-0.8,0.43,0.11
P28066,PSMA5,0,0,0,0,0,0.21,2.48,0,0,0.29,-0.7,0.64,-0.26
P61026,RAB10,0,0,0,0,0,0.37,2.82,0,0,0.29,2.68,0,0
B0QYK0,EWSR1,0,0,0,0,0,0.38,2.63,0,0,0.29,1.97,0.31,2.89
B5MDF5,RAN,0,0,0,0,0,0.5,-0.35,0.55,-0.02,0.37,0.14,0.65,1.13
P49756,RBM25,0,0,0,0,0,0.36,0.96,0,0,0.13,11.94,0.13,14.8
Q6UN15,FIP1L1,0,0,0,0,0,0.5,-0.83,0,0,0.39,-0.01,0,0
P24539,ATP5PB,0,0,0,0,0,0.35,4.12,0,0,0,0,0.34,1.41
P62314,SNRPD1,0,0,0,0,0,0.42,-0.5,0,0,0.29,3.73,0.33,4.19
P46783,RPS10,0,0,0,0,0,0.47,-0.63,0,0,0.54,-0.52,0,0
P35579,MYH9,0,0,0,0,0,0.4,-0.24,0,0,0.29,1.76,0.27,-0.62
Q08211,DHX9,0,0,0,0,0,0.3,6.34,0,0,0.19,10.8,0,0
Q9P035,HACD3,0,0,0,0,0,0.47,-0.76,0,0,0.32,3.39,0.48,-0.61
P62995,TRA2B,0,0,0,0,0,0.31,4.06,0,0,0,0,0,0
P50402,EMD,0,0,0,0,0,0.46,0.83,0,0,0.53,-0.16,0.75,2.8
H3BVG0,NUP93,0,0,0,0,0,0.47,-0.62,0,0,0,0,0,0
B7Z6Z4,MYL6,0,0,0,0,0,0.37,2.07,0,0,0.39,0.42,0.51,-0.82
O43347,MSI1,0,0,0,0,0,0.14,12.65,0,0,0,0,0,0
P27708,CAD,0,0,0,0,0,0.57,2.47,0,0,0.51,-0.62,0,0
Q16610,ECM1,0,0,0,0,0,0.28,4.95,0,0,0,0,0,0
Q15717,ELAVL1,0,0,0,0,0,0.35,4.31,0,0,0,0,0,0
Q15828,CST6,0,0,0,0,0,0.19,12.49,0,0,0,0,0,0
O75400,PRPF40A,0,0,0,0,0,0.48,-0.48,0,0,0,0,0,0
A0A087X2D0,SFRS3,0,0,0,0,0,0.38,0.59,0,0,0,0,0,0
Q86YZ3,HRNR,0,0,0,0,0,0,0,0,27.58,0,0,0,0
Q9C075,KRT23,0,0,0,0,0,0,0,0.1,16.27,0,0,0,0
P35637,FUS,0,0,0,0,0,0,0,0,0,0.46,-0.6,0,0
E7EQ64,PRSS1,0,0,0,0,0,0,0,0,0,0,27.14,0,28.15
A8MUD9,RPL7,0,0,0,0,0,0,0,0,0,0.25,6.01,0,0
Q15393,SF3B3,0,0,0,0,0,0,0,0,0,0.43,-0.8,0,0
Q9Y2W1,THRAP3,0,0,0,0,0,0,0,0,0,0.15,11.71,0,0
Q9Y6C9,MTCH2,0,0,0,0,0,0,0,0,0,0.34,1.91,0.13,9.31
P04279,SEMG1,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.83
