Col_Name,Experiment_Name,Condition,Buffer,SWAP
Abundance.F1.Light.Control.IDIRT.02,B02_a,Control,2,NO
Abundance.F1.Heavy.Sample.IDIRT.02,B02_a,Sample,2,NO
Abundance.F2.Light.Control.IDIRT.02,B02_b,Control,2,NO
Abundance.F2.Heavy.Sample.IDIRT.02,B02_b,Sample,2,NO
Abundance.F3.Light.Control.IDIRT.02,B02_c,Control,2,NO
Abundance.F3.Heavy.Sample.IDIRT.02,B02_c,Sample,2,NO
Abundance.F4.Light.Control.IDIRT.02,B02_d,Control,2,NO
Abundance.F4.Heavy.Sample.IDIRT.02,B02_d,Sample,2,NO
Abundance.F5.Light.Control.IDIRT.03,B03_a,Control,3,NO
Abundance.F5.Heavy.Sample.IDIRT.03,B03_a,Sample,3,NO
Abundance.F6.Light.Control.IDIRT.03,B03_b,Control,3,NO
Abundance.F6.Heavy.Sample.IDIRT.03,B03_b,Sample,3,NO
Abundance.F7.Light.Control.IDIRT.03,B03_c,Control,3,NO
Abundance.F7.Heavy.Sample.IDIRT.03,B03_c,Sample,3,NO
Abundance.F8.Light.Control.IDIRT.03,B03_d,Control,3,NO
Abundance.F8.Heavy.Sample.IDIRT.03,B03_d,Sample,3,NO
Abundance.F9.Light.Control.IDIRT.16,B16_a,Control,16,NO
Abundance.F9.Heavy.Sample.IDIRT.16,B16_a,Sample,16,NO
Abundance.F10.Light.Control.IDIRT.16,B16_b,Control,16,NO
Abundance.F10.Heavy.Sample.IDIRT.16,B16_b,Sample,16,NO
Abundance.F11.Light.Control.IDIRT.16,B16_c,Control,16,NO
Abundance.F11.Heavy.Sample.IDIRT.16,B16_c,Sample,16,NO
Abundance.F12.Light.Control.IDIRT.16,B16_d,Control,16,NO
Abundance.F12.Heavy.Sample.IDIRT.16,B16_d,Sample,16,NO
Abundance.F13.Light.Control.IDIRT.19,B19_a,Control,19,NO
Abundance.F13.Heavy.Sample.IDIRT.19,B19_a,Sample,19,NO
Abundance.F14.Light.Control.IDIRT.19,B19_b,Control,19,NO
Abundance.F14.Heavy.Sample.IDIRT.19,B19_b,Sample,19,NO
Abundance.F15.Light.Control.IDIRT.19,B19_c,Control,19,NO
Abundance.F15.Heavy.Sample.IDIRT.19,B19_c,Sample,19,NO
Abundance.F16.Light.Control.IDIRT.19,B19_d,Control,19,NO
Abundance.F16.Heavy.Sample.IDIRT.19,B19_d,Sample,19,NO
Abundance.F17.Light.Control.IDIRT.25,B25_a,Control,25,NO
Abundance.F17.Heavy.Sample.IDIRT.25,B25_a,Sample,25,NO
Abundance.F18.Light.Control.IDIRT.25,B25_b,Control,25,NO
Abundance.F18.Heavy.Sample.IDIRT.25,B25_b,Sample,25,NO
Abundance.F19.Light.Control.IDIRT.25,B25_c,Control,25,NO
Abundance.F19.Heavy.Sample.IDIRT.25,B25_c,Sample,25,NO
Abundance.F20.Light.Control.IDIRT.25,B25_d,Control,25,NO
Abundance.F20.Heavy.Sample.IDIRT.25,B25_d,Sample,25,NO
Abundance.F21.Light.Control.IDIRT.29,B29_a,Control,29,NO
Abundance.F21.Heavy.Sample.IDIRT.29,B29_a,Sample,29,NO
Abundance.F22.Light.Control.IDIRT.29,B29_b,Control,29,NO
Abundance.F22.Heavy.Sample.IDIRT.29,B29_b,Sample,29,NO
Abundance.F23.Light.Control.IDIRT.29,B29_c,Control,29,NO
Abundance.F23.Heavy.Sample.IDIRT.29,B29_c,Sample,29,NO
Abundance.F24.Light.Control.IDIRT.29,B29_d,Control,29,NO
Abundance.F24.Heavy.Sample.IDIRT.29,B29_d,Sample,29,NO
Abundance.F25.Light.Sample.IDIRT_swap.02,B02_a,Sample,2,YES
Abundance.F25.Heavy.Control.IDIRT_swap.02,B02_a,Control,2,YES
Abundance.F26.Light.Sample.IDIRT_swap.02,B02_b,Sample,2,YES
Abundance.F26.Heavy.Control.IDIRT_swap.02,B02_b,Control,2,YES
Abundance.F27.Light.Sample.IDIRT_swap.02,B02_c,Sample,2,YES
Abundance.F27.Heavy.Control.IDIRT_swap.02,B02_c,Control,2,YES
Abundance.F28.Light.Sample.IDIRT_swap.02,B02_d,Sample,2,YES
Abundance.F28.Heavy.Control.IDIRT_swap.02,B02_d,Control,2,YES
Abundance.F29.Light.Sample.IDIRT_swap.03,B03_a,Sample,3,YES
Abundance.F29.Heavy.Control.IDIRT_swap.03,B03_a,Control,3,YES
Abundance.F30.Light.Sample.IDIRT_swap.03,B03_b,Sample,3,YES
Abundance.F30.Heavy.Control.IDIRT_swap.03,B03_b,Control,3,YES
Abundance.F31.Light.Sample.IDIRT_swap.03,B03_c,Sample,3,YES
Abundance.F31.Heavy.Control.IDIRT_swap.03,B03_c,Control,3,YES
Abundance.F32.Light.Sample.IDIRT_swap.03,B03_d,Sample,3,YES
Abundance.F32.Heavy.Control.IDIRT_swap.03,B03_d,Control,3,YES
Abundance.F33.Light.Sample.IDIRT_swap.16,B16_a,Sample,16,YES
Abundance.F33.Heavy.Control.IDIRT_swap.16,B16_a,Control,16,YES
Abundance.F34.Light.Sample.IDIRT_swap.16,B16_b,Sample,16,YES
Abundance.F34.Heavy.Control.IDIRT_swap.16,B16_b,Control,16,YES
Abundance.F35.Light.Sample.IDIRT_swap.16,B16_c,Sample,16,YES
Abundance.F35.Heavy.Control.IDIRT_swap.16,B16_c,Control,16,YES
Abundance.F36.Light.Sample.IDIRT_swap.16,B16_d,Sample,16,YES
Abundance.F36.Heavy.Control.IDIRT_swap.16,B16_d,Control,16,YES
Abundance.F37.Light.Sample.IDIRT_swap.19,B19_a,Sample,19,YES
Abundance.F37.Heavy.Control.IDIRT_swap.19,B19_a,Control,19,YES
Abundance.F38.Light.Sample.IDIRT_swap.19,B19_b,Sample,19,YES
Abundance.F38.Heavy.Control.IDIRT_swap.19,B19_b,Control,19,YES
Abundance.F39.Light.Sample.IDIRT_swap.19,B19_c,Sample,19,YES
Abundance.F39.Heavy.Control.IDIRT_swap.19,B19_c,Control,19,YES
Abundance.F40.Light.Sample.IDIRT_swap.19,B19_d,Sample,19,YES
Abundance.F40.Heavy.Control.IDIRT_swap.19,B19_d,Control,19,YES
Abundance.F41.Light.Sample.IDIRT_swap.25,B25_a,Sample,25,YES
Abundance.F41.Heavy.Control.IDIRT_swap.25,B25_a,Control,25,YES
Abundance.F42.Light.Sample.IDIRT_swap.25,B25_b,Sample,25,YES
Abundance.F42.Heavy.Control.IDIRT_swap.25,B25_b,Control,25,YES
Abundance.F43.Light.Sample.IDIRT_swap.25,B25_c,Sample,25,YES
Abundance.F43.Heavy.Control.IDIRT_swap.25,B25_c,Control,25,YES
Abundance.F44.Light.Sample.IDIRT_swap.25,B25_d,Sample,25,YES
Abundance.F44.Heavy.Control.IDIRT_swap.25,B25_d,Control,25,YES
Abundance.F45.Light.Sample.IDIRT_swap.29,B29_a,Sample,29,YES
Abundance.F45.Heavy.Control.IDIRT_swap.29,B29_a,Control,29,YES
Abundance.F46.Light.Sample.IDIRT_swap.29,B29_b,Sample,29,YES
Abundance.F46.Heavy.Control.IDIRT_swap.29,B29_b,Control,29,YES
Abundance.F47.Light.Sample.IDIRT_swap.29,B29_c,Sample,29,YES
Abundance.F47.Heavy.Control.IDIRT_swap.29,B29_c,Control,29,YES
Abundance.F48.Light.Sample.IDIRT_swap.29,B29_d,Sample,29,YES
Abundance.F48.Heavy.Control.IDIRT_swap.29,B29_d,Control,29,YES
