Accession,Gene name,Hit times,Buffer29,,Buffer25,,Buffer19,,Buffer16,,Buffer3,,Buffer2,
A0A2R8YCH5,CTNNB1,6,0.86,11.89,0.86,11.40,0.90,15.14,0.85,10.74,0.88,11.82,0.90,15.73
P35527,KRT9,6,0.97,22.82,0.98,23.05,0.98,20.22,0.98,24.70,0.96,21.80,0.95,19.93
P42704,LRPPRC,6,1.00,25.08,0.99,24.60,1.00,25.02,1.00,26.98,0.97,23.26,0.98,24.54
P35908,KRT2,6,0.99,15.90,0.98,24.35,0.98,21.88,0.96,21.10,0.96,21.89,0.74,4.83
P13645,KRT10,6,0.97,22.12,0.98,23.38,0.96,21.06,0.98,23.88,0.94,20.15,0.95,20.76
P05787,KRT8,6,1.00,25.48,0.97,21.62,0.96,20.14,1.00,26.83,0.95,20.85,1.00,26.41
P02533,KRT14,6,0.97,22.08,0.91,15.75,0.85,11.33,0.98,24.35,0.76,4.97,0.93,19.28
H0YFD6,HADHA,6,1.00,25.19,1.00,25.34,0.92,16.50,1.00,26.98,0.75,5.47,0.96,22.68
P13647,KRT5,6,0.97,21.82,0.97,22.71,0.97,21.88,0.95,20.96,0.94,20.61,0.95,21.08
P08779,KRT16,6,0.97,21.56,0.98,23.77,0.98,19.22,0.85,11.63,0.94,13.87,0.98,24.08
A0A087WXI5,CDH1,6,0.96,14.14,0.93,16.16,0.97,21.75,0.88,15.18,0.97,20.86,0.95,13.83
P14923,JUP,6,0.97,22.40,0.77,5.53,0.94,16.61,0.92,18.62,0.80,8.00,0.91,17.68
P02538,KRT6A,6,0.85,9.78,0.92,16.70,0.96,16.32,0.79,8.57,0.88,13.16,0.91,15.72
Q04695,KRT17,6,0.91,12.37,0.93,17.75,0.94,16.14,0.94,15.63,0.86,12.32,0.91,16.19
E9PDC3,ARVCF,6,0.79,5.16,0.91,15.55,0.95,18.42,0.85,8.13,0.84,10.70,0.88,14.01
P06576,ATP5F1B,6,0.97,22.23,0.96,20.49,0.83,9.06,0.96,21.66,0.79,5.94,0.90,15.81
P06733,ENO1,6,0.93,16.60,0.87,11.53,0.83,6.53,0.88,15.23,0.78,6.25,0.92,18.53
P02768,ALB,6,1.00,25.34,1.00,25.50,1.00,25.19,1.00,26.73,1.00,26.71,1.00,26.95
Q5D862,FLG2,6,1.00,25.27,1.00,25.50,0.99,24.51,1.00,26.72,1.00,26.71,0.99,25.86
Q86YZ3,HRNR,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
Q8N1N4,KRT78,6,0.94,16.94,0.89,15.43,0.95,19.64,0.91,17.14,0.97,22.49,0.83,10.03
Q7Z794,KRT77,6,0.98,19.54,0.97,21.68,0.99,24.11,0.98,17.32,0.99,25.82,0.98,24.74
E7EQB2,LTF,6,0.85,11.45,0.97,18.54,0.98,21.77,0.87,14.38,0.95,21.05,0.94,18.24
P06702,S100A9,6,0.83,8.60,0.77,7.72,0.81,7.03,0.85,12.51,0.82,11.39,0.84,10.10
Q08188,TGM3,6,0.92,17.60,0.96,20.76,0.82,11.00,0.93,19.68,0.87,13.57,0.90,16.63
P29508,SERPINB3,6,0.98,18.03,0.87,12.66,0.94,19.27,0.99,22.93,0.90,11.88,0.96,20.65
O43790,KRT86,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,18.35,1.00,27.02
P31944,CASP14,6,0.99,23.50,0.98,22.99,0.94,17.10,0.91,18.59,0.94,17.02,0.95,19.62
F5GZS6,SLC3A2,6,0.96,20.82,0.89,14.37,0.91,15.62,0.92,10.10,0.91,15.87,0.95,20.40
Q6KB66,KRT80,6,0.98,23.01,0.97,22.15,0.97,21.87,0.94,20.88,0.95,21.23,0.96,22.13
O75533,SF3B1,6,0.99,24.78,0.96,19.56,0.86,10.62,0.91,17.98,0.87,12.35,0.96,21.91
Q01546,KRT76,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,19.49,1.00,26.71,1.00,27.02
P05089,ARG1,6,1.00,24.11,0.99,24.04,0.91,13.68,0.93,17.44,0.84,9.45,0.87,12.80
P01857,IGHG1,6,0.94,18.26,0.93,19.34,0.88,11.39,0.87,14.17,0.91,18.54,0.95,19.92
P30101,PDIA3,6,0.86,9.97,0.80,6.71,0.72,3.35,0.85,13.54,0.73,4.05,0.89,15.89
P05023,ATP1A1,6,0.91,6.64,0.96,21.62,0.88,13.13,0.93,3.05,0.91,15.43,0.96,22.89
P21333,FLNA,6,0.97,22.49,0.96,21.34,0.98,21.30,1.00,24.78,0.93,18.98,0.96,21.94
A0A1B0GVD5,CTSD,6,0.98,20.42,0.92,17.71,0.74,3.73,0.94,21.34,0.92,17.14,0.89,15.50
P22223,CDH3,6,0.93,17.80,0.96,19.92,0.96,17.36,0.98,14.15,0.90,16.00,0.89,15.84
Q5T749,KPRP,6,1.00,23.93,0.99,21.39,1.00,21.76,0.93,18.15,1.00,22.84,1.00,27.02
P00338,LDHA,6,0.92,17.32,0.76,4.23,0.76,4.25,1.00,26.99,0.74,4.79,0.91,15.69
G8JLG2,CDSN,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,21.76,1.00,27.02
P07737,PFN1,6,1.00,21.77,0.97,17.33,0.70,4.72,1.00,25.76,0.74,4.12,1.00,23.71
Q13867,BLMH,6,0.96,18.07,0.93,17.94,0.92,17.58,0.84,10.99,0.81,7.94,0.89,16.33
P32119,PRDX2,6,0.96,18.71,0.95,18.71,0.81,8.21,0.92,17.67,0.78,5.83,0.91,15.51
P81605,DCD,6,0.98,24.05,0.99,23.98,0.98,21.32,0.99,25.63,0.99,25.18,1.00,26.80
O43278,SPINT1,6,1.00,25.55,1.00,25.86,1.00,19.97,1.00,24.96,0.99,24.25,1.00,27.02
O00571,DDX3X,6,0.99,24.40,0.99,24.62,0.78,3.88,0.91,17.91,0.89,12.08,1.00,25.76
A0A5F9ZHM4,LDHB,6,0.97,21.79,0.93,17.63,0.89,9.43,0.96,22.64,0.86,9.12,0.96,21.61
P01040,CSTA,6,0.98,23.22,0.96,21.72,1.00,25.21,0.96,20.01,1.00,24.67,0.98,22.81
P01876,IGHA1,6,1.00,25.55,1.00,25.86,1.00,20.61,1.00,24.94,1.00,26.71,1.00,27.02
P68871,HBB,6,0.97,22.58,0.97,22.36,1.00,24.02,0.98,24.82,0.96,21.58,0.97,21.82
Q92542,NCSTN,6,1.00,25.55,1.00,25.86,0.97,20.44,1.00,26.99,0.91,15.84,1.00,27.02
A0A024R6I7,SERPINA1,6,1.00,25.55,1.00,18.64,1.00,18.16,1.00,26.99,1.00,19.28,1.00,27.02
P63104,YWHAZ,6,1.00,25.55,1.00,20.05,0.84,8.61,0.96,21.90,0.75,7.37,0.88,16.80
Q96QA5,GSDMA,6,1.00,25.55,1.00,24.72,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
P02763,ORM1,6,0.99,23.67,1.00,25.86,1.00,25.21,1.00,26.18,1.00,26.71,0.98,23.44
P42357,HAL,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,19.49,1.00,26.71,1.00,27.02
Q9UI42,CPA4,6,1.00,25.55,1.00,22.90,1.00,25.21,1.00,25.24,1.00,26.71,0.96,20.96
A0A286YEY4,IGHG2,6,0.95,18.90,0.95,15.84,0.90,14.55,0.95,20.99,0.97,22.99,0.99,25.07
P01036,CST4,6,0.90,5.19,1.00,25.86,1.00,18.16,1.00,26.99,1.00,19.28,1.00,19.52
A0A1B0GUE3,ASAH1,6,1.00,23.58,1.00,25.86,0.76,3.63,1.00,26.99,1.00,19.28,1.00,27.02
Q8NHM4,PRSS3P2,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
A0A0B4J259,LYZ,6,0.87,6.97,0.91,9.35,0.88,7.00,0.86,12.49,0.79,8.62,0.76,6.31
Q53RT3,ASPRV1,6,1.00,25.55,1.00,25.86,1.00,18.16,1.00,26.99,1.00,19.28,1.00,27.02
A0A0C4DGI3,CS,6,0.93,14.52,0.83,7.76,0.86,13.80,1.00,26.99,0.81,10.27,0.78,5.74
A2NJV5,IGKV2-29,6,0.96,19.93,0.96,20.31,1.00,25.21,1.00,24.65,1.00,26.71,1.00,27.02
P31025,LCN1,6,1.00,25.55,0.98,18.81,0.80,9.57,0.94,18.00,0.94,4.60,1.00,15.86
V9GYM3,APOA2,6,1.00,25.55,1.00,25.86,1.00,24.16,1.00,26.99,0.99,25.29,0.99,25.89
P39019,RPS19,6,1.00,25.55,0.99,24.91,0.92,16.55,0.99,25.81,0.95,21.11,1.00,27.02
P19652,ORM2,6,1.00,24.62,1.00,25.86,1.00,25.21,0.99,26.07,1.00,26.71,1.00,27.02
P12273,PIP,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
C9JF17,APOD,6,1.00,18.42,1.00,18.64,1.00,18.16,1.00,19.49,1.00,26.71,1.00,27.02
O75342,ALOX12B,6,1.00,18.42,1.00,18.64,1.00,25.21,1.00,26.99,1.00,26.71,1.00,19.52
Q8WVV4,POF1B,6,1.00,25.55,1.00,25.86,0.84,8.99,1.00,26.99,1.00,21.89,1.00,19.52
P31949,S100A11,6,1.00,23.23,1.00,17.63,0.79,7.69,1.00,17.93,0.84,12.94,1.00,17.02
C9JRZ6,CHCHD3,6,1.00,7.02,1.00,18.64,0.83,10.65,1.00,19.49,0.92,17.38,1.00,18.74
B7Z7B0,CPSF4,6,1.00,25.55,1.00,22.18,0.91,14.66,1.00,26.99,0.84,13.01,1.00,27.02
P01008,SERPINC1,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,26.71,0.82,9.02
P04080,CSTB,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,19.49,1.00,19.28,1.00,19.52
P08758,ANXA5,6,1.00,25.55,1.00,25.86,1.00,17.71,1.00,26.99,1.00,12.57,1.00,19.52
P78371,CCT2,6,0.99,24.58,0.99,24.01,0.91,15.07,1.00,22.87,0.88,9.41,0.97,23.72
H0YL69,PSMA4,6,1.00,22.09,1.00,23.74,0.81,4.72,0.90,15.23,0.77,6.77,0.83,9.05
E9PPI9,EXOSC4,6,1.00,25.55,1.00,25.86,1.00,18.16,1.00,26.99,1.00,26.71,1.00,27.02
Q8NEX9,SDR9C7,6,1.00,25.55,0.81,4.45,1.00,18.16,1.00,8.56,1.00,19.28,1.00,27.02
P25786,PSMA1,6,1.00,25.55,1.00,25.86,0.89,12.42,1.00,26.99,0.88,16.60,1.00,27.02
P02790,HPX,6,0.89,10.81,0.82,8.16,1.00,22.76,0.88,13.69,0.66,3.82,0.78,8.45
Q01105,SET,6,1.00,18.42,1.00,25.86,1.00,18.16,1.00,19.49,1.00,26.71,1.00,27.02
Q96T58,SPEN,6,1.00,25.34,1.00,25.11,1.00,25.21,1.00,26.48,1.00,26.69,1.00,26.82
I3L192,BSG,6,1.00,25.55,1.00,18.64,1.00,14.02,1.00,13.66,0.86,11.64,0.82,11.80
P55072,VCP,6,1.00,25.55,1.00,25.86,1.00,25.21,1.00,26.99,1.00,26.71,1.00,27.02
G3V3A0,SERPINA3,6,1.00,25.55,1.00,25.86,1.00,18.16,1.00,26.99,1.00,19.28,1.00,27.02
A0A3B3ISS6,GPNMB,6,1.00,18.42,1.00,25.86,1.00,25.21,1.00,26.99,1.00,19.28,1.00,27.02
Q9NR30,DDX21,6,1.00,25.55,1.00,25.86,0.92,15.63,1.00,26.99,0.84,13.17,1.00,19.52
P50991,CCT4,6,1.00,18.42,1.00,25.86,1.00,25.21,1.00,19.49,1.00,19.28,1.00,19.52
P15924,DSP,5,0.90,14.94,0.74,4.29,0.77,5.40,0.88,12.33,0.68,2.08,0.84,11.09
P04259,KRT6B,5,0.88,14.35,0.89,11.60,0.90,9.14,0.83,9.78,0.77,2.94,0.88,12.58
Q99569,PKP4,5,0.89,14.31,0.75,5.56,0.91,15.98,0.62,0.56,0.77,5.44,0.83,10.27
P19013,KRT4,5,0.98,19.57,0.98,20.71,1.00,16.44,0.91,10.48,0.78,3.94,0.42,-0.82
P07900,HSP90AA1,5,0.88,12.34,0.81,8.17,0.72,1.88,0.87,11.81,0.74,3.97,0.90,15.62
P04083,ANXA1,5,0.86,8.96,0.74,4.12,0.73,3.14,0.68,2.44,0.77,5.96,0.83,10.66
P14618,PKM,5,0.89,13.26,0.84,10.76,0.75,3.84,0.89,14.65,0.67,1.32,0.90,15.36
P13639,EEF2,5,0.99,22.70,0.90,11.24,0.68,2.14,0.99,24.21,0.93,18.62,0.94,20.45
Q5T5P2,KIAA1217,5,0.83,10.35,0.82,7.56,0.85,11.18,0.65,-0.16,0.80,8.66,0.97,23.78
P38646,HSPA9,5,0.79,6.52,0.72,3.17,0.72,3.04,0.73,2.95,0.73,3.15,0.69,3.38
P12035,KRT3,5,1.00,18.42,1.00,25.86,0.00,0.00,1.00,19.49,1.00,26.71,1.00,19.52
Q9H8K7,PAAT,5,0.55,-0.72,1.00,25.86,0.91,16.89,0.91,17.32,0.89,15.93,1.00,27.02
Q08554,DSC1,5,0.83,9.20,0.87,12.09,0.97,14.33,0.82,8.49,0.86,10.84,0.63,1.24
P01834,IGKC,5,1.00,9.74,1.00,18.21,1.00,19.11,1.00,25.55,0.50,-0.82,1.00,22.01
P27797,CALR,5,0.71,4.24,0.79,7.54,0.55,-0.71,0.81,8.24,0.65,3.01,0.89,13.49
P04075,ALDOA,5,0.90,14.87,0.82,8.48,0.78,3.11,0.93,19.27,0.66,0.99,0.85,12.52
P04040,CAT,5,0.77,6.08,0.81,6.79,0.82,9.65,0.83,10.12,0.82,6.85,0.72,2.66
Q99959,PKP2,5,1.00,25.55,0.51,-0.31,0.84,9.62,1.00,26.99,0.72,5.31,1.00,27.02
P47929,LGALS7,5,0.92,16.70,0.74,4.83,0.82,6.77,0.81,8.39,0.89,3.36,0.47,-0.84
P54886,ALDH18A1,5,1.00,16.38,1.00,17.56,0.68,1.13,1.00,25.66,0.89,14.30,1.00,27.02
P49327,FASN,5,1.00,20.98,0.77,3.60,0.74,4.94,1.00,4.76,0.62,1.37,0.81,10.02
P22735,TGM1,5,0.87,10.25,0.89,13.20,0.68,1.75,0.90,17.21,0.77,6.18,0.87,12.37
H3BNC9,3 SV,5,1.00,21.59,0.94,17.40,0.58,-0.58,0.90,12.28,0.74,3.93,0.98,24.63
Q99523,SORT1,5,1.00,25.55,1.00,25.86,0.35,2.06,1.00,15.83,0.90,15.18,1.00,11.14
P15586,GNS,5,1.00,18.42,1.00,25.86,0.44,-0.71,1.00,26.99,1.00,26.71,1.00,27.02
P61224,RAP1B,5,0.91,2.37,0.95,15.05,0.74,7.13,0.95,20.89,0.74,3.22,0.87,12.96
P07099,EPHX1,5,0.93,18.48,0.83,5.67,0.53,-0.82,0.82,8.01,0.72,3.30,0.88,11.50
Q96FQ6,S100A16,5,1.00,19.65,0.97,17.46,1.00,18.16,0.85,1.53,1.00,26.71,0.89,11.71
Q07065,CKAP4,5,1.00,9.01,1.00,25.86,0.89,8.79,1.00,4.76,0.90,10.80,0.00,0.00
P20618,PSMB1,5,0.74,6.12,0.74,3.77,0.76,5.25,0.91,16.29,0.66,0.80,0.74,4.00
G3V3U4,PSMA6,5,1.00,18.42,1.00,25.86,1.00,18.16,1.00,19.49,1.00,26.71,0.00,0.00
O14828,SCAMP3,5,1.00,19.82,0.95,3.04,0.88,10.90,1.00,26.99,0.83,8.64,0.69,1.79
P23284,PPIB,5,0.90,16.43,1.00,20.28,0.73,2.21,0.82,12.51,0.75,3.68,0.87,13.27
F5H423,F5H423,5,1.00,25.55,0.90,15.11,0.84,11.26,1.00,26.99,0.73,2.85,1.00,27.02
P28074,PSMB5,5,1.00,20.86,0.96,12.23,0.82,11.99,0.70,3.30,0.69,1.87,0.86,9.33
A6NLM8,SSR4,5,1.00,18.42,0.00,0.00,1.00,18.16,1.00,19.49,0.90,13.63,1.00,19.52
O75635,SERPINB7,5,1.00,25.55,1.00,18.64,1.00,25.21,1.00,19.49,0.00,0.00,1.00,19.52
A0A0C4DGN4,ZG16B,5,0.00,0.00,1.00,18.61,1.00,18.16,0.98,21.05,1.00,6.25,1.00,19.11
Q9BSJ8,ESYT1,5,0.00,0.00,1.00,25.86,0.87,8.35,1.00,26.99,1.00,14.25,1.00,27.02
Q12955,ANK3,5,0.00,0.00,1.00,7.12,0.81,9.37,0.75,7.08,0.87,13.36,0.97,22.53
P08670,VIM,4,0.94,17.13,0.88,12.23,0.61,1.53,0.97,24.50,0.54,-0.81,0.89,14.93
P11021,HSPA5,4,0.78,4.94,0.88,12.90,0.68,0.96,0.81,8.56,0.69,3.24,0.66,1.18
Q14157,UBAP2L,4,0.77,5.76,0.88,2.81,0.56,-0.55,0.86,3.68,0.98,23.88,0.91,15.66
Q08211,DHX9,4,1.00,10.35,0.96,9.18,0.58,-0.44,0.80,8.76,0.55,-0.65,0.93,15.07
Q15233,NONO,4,1.00,25.55,1.00,21.76,0.53,-0.84,0.91,18.86,0.58,-0.44,0.74,6.02
P62805,H4C1,4,0.77,4.66,0.78,5.77,0.62,-0.02,0.78,4.71,0.62,0.05,0.78,6.49
P19338,NCL,4,0.86,10.63,0.85,11.40,0.64,0.45,0.96,21.90,0.66,2.39,0.96,16.97
Q16777,H2AC20,4,0.80,6.18,0.75,4.98,0.60,-0.23,0.78,4.95,0.58,-0.54,0.74,4.41
J3QTR3,RPS27A,4,0.89,14.42,0.86,11.27,0.64,0.38,0.85,11.55,0.69,1.91,0.78,6.56
B4DY09,ILF2,4,1.00,18.42,1.00,18.64,0.60,-0.15,0.85,11.53,0.64,0.25,1.00,27.02
Q5QNW6,H2BC18,4,0.82,7.34,0.77,5.40,0.65,0.32,0.77,5.32,0.62,0.02,0.73,4.09
P32969,RPL9,4,1.00,14.59,1.00,12.69,0.50,-0.66,1.00,19.49,0.60,-0.32,1.00,19.52
P08865,RPSA,4,0.81,10.48,0.74,4.83,0.50,-0.81,0.83,13.22,0.55,-0.76,0.70,3.36
P31151,S100A7,4,0.79,5.54,0.69,1.38,0.61,0.59,0.91,16.34,0.85,10.23,0.83,9.14
P62241,RPS8,4,1.00,24.11,0.89,14.28,0.63,-0.36,0.92,18.08,0.64,0.36,0.99,24.21
A8MUD9,RPL7,4,1.00,17.42,0.83,10.03,0.54,-0.75,0.80,6.79,0.53,-0.84,1.00,22.01
P63244,RACK1,4,0.77,3.45,0.91,15.97,0.59,-0.43,0.75,2.03,0.70,3.10,0.77,5.25
P36578,RPL4,4,1.00,18.42,1.00,14.62,0.44,-0.40,1.00,12.18,0.49,-0.80,1.00,19.52
Q13838,DDX39B,4,0.93,17.86,0.90,12.48,0.57,-0.74,0.80,5.69,0.53,-0.76,0.86,14.59
P62424,RPL7A,4,1.00,25.55,0.97,21.78,0.71,2.06,1.00,26.50,0.66,0.81,0.97,23.57
P60842,EIF4A1,4,1.00,21.11,0.91,16.42,0.71,2.30,1.00,26.99,0.63,0.40,0.94,18.36
Q13835,PKP1,4,1.00,16.95,1.00,25.86,0.18,10.84,1.00,26.99,0.22,0.45,1.00,27.02
Q14574,DSC3,4,0.72,4.64,0.74,6.99,0.78,5.71,0.74,6.94,0.67,1.43,0.41,2.77
P49756,RBM25,4,1.00,25.55,1.00,25.86,0.58,-0.50,1.00,19.49,0.64,0.48,0.95,7.95
P13667,PDIA4,4,0.82,8.88,0.79,4.91,0.63,0.38,0.81,8.49,0.69,1.17,0.72,4.37
E9PKZ0,RPL8,4,1.00,19.75,0.77,7.31,0.52,-0.83,1.00,18.43,0.48,-0.18,0.81,6.18
M0R0F0,RPS5,4,0.95,18.75,0.85,11.25,0.61,-0.44,0.92,12.64,0.70,2.09,0.95,20.57
P23528,CFL1,4,0.86,9.02,1.00,17.98,0.61,-0.23,0.66,3.04,0.61,-0.11,0.89,14.54
P61353,RPL27,4,1.00,21.16,0.82,10.08,0.49,-0.73,0.86,9.56,0.52,-0.85,1.00,27.02
P35579,MYH9,4,1.00,18.42,0.74,6.33,0.55,-0.28,1.00,26.99,0.44,-0.25,1.00,11.52
K7EJV9,RPL23A,4,1.00,25.55,1.00,23.70,0.68,1.10,1.00,26.99,0.59,-0.19,1.00,27.02
A0A087WWU8,TPM3,4,1.00,25.55,0.96,20.00,0.77,0.30,1.00,19.49,0.92,17.32,0.00,0.00
H3BRG4,UQCRC2,4,1.00,25.55,0.00,0.00,0.00,0.00,1.00,26.99,0.94,18.12,0.92,18.20
P84243,H3-3A,4,0.82,7.21,0.76,4.37,0.59,-0.17,0.80,5.56,0.61,-0.19,0.77,6.05
P42167,TMPO,4,1.00,16.25,1.00,25.86,0.74,5.69,0.71,-0.09,0.58,-0.23,0.78,7.74
P62851,RPS25,4,1.00,12.74,1.00,25.86,0.51,-0.85,1.00,21.08,0.62,1.09,1.00,27.02
